date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:34:48	1093/1093	---M--	200	added ('OK')	image/svg+xml	etag:%22445-5d9626ba5ab0e%22	https://mannatthemes.com/selfown/default/images/logos/bootstrap.svg	C:/My%20Web%20Sites/portfolio/mannatthemes.com/selfown/default/images/logos/bootstrap.svg	(from https://mannatthemes.com/selfown/default/dark-index-4.html)
16:34:48	665/665	---M--	200	added ('OK')	image/svg+xml	etag:%22299-5d9626ba5ab0e%22	https://mannatthemes.com/selfown/default/images/logos/vue.svg	C:/My%20Web%20Sites/portfolio/mannatthemes.com/selfown/default/images/logos/vue.svg	(from https://mannatthemes.com/selfown/default/dark-index-4.html)
16:34:48	3598/3598	---M--	200	added ('OK')	image/svg+xml	etag:%22e0e-5d9626ba5ab0e%22	https://mannatthemes.com/selfown/default/images/logos/react.svg	C:/My%20Web%20Sites/portfolio/mannatthemes.com/selfown/default/images/logos/react.svg	(from https://mannatthemes.com/selfown/default/dark-index-4.html)
16:34:49	1578/1578	---M--	200	added ('OK')	image/svg+xml	etag:%2262a-5d9626ba5ab0e%22	https://mannatthemes.com/selfown/default/images/logos/mongodb.svg	C:/My%20Web%20Sites/portfolio/mannatthemes.com/selfown/default/images/logos/mongodb.svg	(from https://mannatthemes.com/selfown/default/dark-index-4.html)
16:34:49	1688/1688	---M--	200	added ('OK')	image/svg+xml	etag:%22698-5d9626ba5ab0e%22	https://mannatthemes.com/selfown/default/images/logos/laravel.svg	C:/My%20Web%20Sites/portfolio/mannatthemes.com/selfown/default/images/logos/laravel.svg	(from https://mannatthemes.com/selfown/default/dark-index-4.html)
16:34:50	2599/2599	---M--	200	added ('OK')	image/svg+xml	etag:%22a27-5d9626ba5ab0e%22	https://mannatthemes.com/selfown/default/images/logos/nodejs-icon.svg	C:/My%20Web%20Sites/portfolio/mannatthemes.com/selfown/default/images/logos/nodejs-icon.svg	(from https://mannatthemes.com/selfown/default/dark-index-4.html)
16:34:51	23698/23698	---M--	200	added ('OK')	image/png	etag:%225c92-5d9626ba5baae%22	https://mannatthemes.com/selfown/default/images/personal/school.png	C:/My%20Web%20Sites/portfolio/mannatthemes.com/selfown/default/images/personal/school.png	(from https://mannatthemes.com/selfown/default/dark-index-4.html)
16:34:52	30518/30518	---M--	200	added ('OK')	image/png	etag:%227736-5d9626ba5baae%22	https://mannatthemes.com/selfown/default/images/personal/school-light.png	C:/My%20Web%20Sites/portfolio/mannatthemes.com/selfown/default/images/personal/school-light.png	(from https://mannatthemes.com/selfown/default/dark-index-4.html)
16:34:53	23041/23041	---M--	200	added ('OK')	image/png	etag:%225a01-5d9626ba5baae%22	https://mannatthemes.com/selfown/default/images/personal/job.png	C:/My%20Web%20Sites/portfolio/mannatthemes.com/selfown/default/images/personal/job.png	(from https://mannatthemes.com/selfown/default/dark-index-4.html)
16:34:53	25537/25537	---M--	200	added ('OK')	image/png	etag:%2263c1-5d9626ba5baae%22	https://mannatthemes.com/selfown/default/images/personal/job-light.png	C:/My%20Web%20Sites/portfolio/mannatthemes.com/selfown/default/images/personal/job-light.png	(from https://mannatthemes.com/selfown/default/dark-index-4.html)
